_id,Fin_year,Stop_ID,PostCode,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
131,FY23-24,19970,3052,Royal Park,-37.78119293,144.9523013,304600,900,850,1050,750,600,50,150,300,400,50
132,FY23-24,19971,3051,Flemington Bridge,-37.78813995,144.9393233,252700,800,800,700,550,400,50,200,250,250,50
133,FY23-24,19972,3051,Macaulay,-37.79426673,144.9361663,279350,900,950,750,600,400,50,150,300,400,50
136,FY23-24,19976,3067,Collingwood,-37.80452593,144.9937497,488050,1650,1700,1350,900,550,50,300,300,950,150
137,FY23-24,19977,3121,North Richmond,-37.81039836,144.9925003,609400,1950,2000,1700,1300,900,50,350,450,950,200
138,FY23-24,19978,3121,West Richmond,-37.81494896,144.9914228,396750,1300,1350,1100,750,450,50,250,300,650,150
180,FY23-24,20026,3003,South Kensington,-37.79953087,144.925469,304650,1000,1000,800,650,450,50,400,250,250,50
181,FY23-24,20027,3031,Flemington Racecourse,-37.78720192,144.9075887,134250,100,150,50,1500,50,50,50,50,50,100
192,FY23-24,20040,3031,Newmarket,-37.78732767,144.9289785,598050,1900,1950,1700,1300,850,100,850,450,450,100
193,FY23-24,20041,3031,Kensington,-37.79378022,144.9305244,435300,1400,1400,1300,950,650,50,650,300,350,50
207,FY23-24,19841,3000,Flagstaff,-37.81198131,144.9556538,3435300,12600,13100,10450,2900,2200,150,800,2600,8400,1150
208,FY23-24,19842,3000,Melbourne Central,-37.80993877,144.9625935,11176650,36850,37700,33200,18700,15550,300,1600,9050,20750,5950
209,FY23-24,19843,3002,Parliament,-37.81105406,144.9729109,5862900,21350,22100,18000,5450,4200,100,800,3750,15150,2300
210,FY23-24,19854,3000,Flinders Street,-37.81830513,144.9669643,20345200,62850,63600,59550,47100,34400,1400,3650,12800,33650,12100
211,FY23-24,19908,3121,Richmond,-37.82407446,144.9901643,3722400,9800,9650,10500,13450,8000,150,900,1350,4000,3300
212,FY23-24,19973,3003,North Melbourne,-37.80630984,144.9415102,1220400,3600,3700,3400,3300,2500,150,550,800,1750,400
213,FY23-24,19979,3002,Jolimont,-37.81652702,144.9840983,1027200,2400,2400,2550,4300,2650,50,150,350,950,900
214,FY23-24,22180,3008,Southern Cross,-37.81793643,144.9514112,14019450,46350,47500,41300,24250,18750,550,2950,8950,29450,5550
219,FY23-24,20028,3031,Showgrounds,-37.7835,144.915,138000,250,50,1150,650,500,50,50,50,50,50